"filename", "language", "Go", "Go Module File", "Go Checksum File", "comment", "blank", "total"
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/cert_test.go", "Go", 203, 0, 0, 0, 24, 227
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/certificate_test.go", "Go", 134, 0, 0, 0, 23, 157
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/configbuilder.go", "Go", 259, 0, 0, 0, 44, 303
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/configbuilder_test.go", "Go", 16, 0, 0, 0, 6, 22
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/factory.go", "Go", 18, 0, 0, 0, 3, 21
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/identities.go", "Go", 145, 0, 0, 0, 36, 181
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/interfaces.go", "Go", 61, 0, 0, 0, 31, 92
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/mgmt/mgmt.go", "Go", 70, 0, 0, 0, 23, 93
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/msp_test.go", "Go", 144, 0, 0, 0, 22, 166
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/mspimpl.go", "Go", 1008, 0, 0, 0, 172, 1180
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/mspmanagerimpl.go", "Go", 53, 0, 0, 0, 12, 65
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/msp/utils.go", "Go", 99, 0, 0, 0, 16, 115
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/protobuf/pcommon/common.pb.go", "Go", 1765, 0, 0, 0, 237, 2002
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/protobuf/pcommon/configtx.pb.go", "Go", 743, 0, 0, 0, 89, 832
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/protobuf/pcommon/ledger.pb.go", "Go", 225, 0, 0, 0, 29, 254
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/protobuf/pcommon/policies.pb.go", "Go", 547, 0, 0, 0, 80, 627
